,event_id,rock_muon_id,length,x_start,y_start,z_start,x_end,y_end,z_end,avg_distance,theta_xz,theta_yz,theta_z
43,99,44,128.87501277064746,32.57233706692824,33.920101165771484,64.31629943847656,25.132868500089266,31.259700775146484,-64.31629943847656,0.5805390916103162,88.45798037004141,86.74674571899313,3.600917671671739
44,100,45,129.38888543628934,28.708922060114865,-42.78810119628906,64.31629943847656,36.072011135457885,-26.825700759887695,-63.87289810180664,0.7828620198565596,83.10178495812293,86.76921054170997,172.37601949558095
45,109,46,110.49712396642927,-22.259254032211548,-61.88201141357422,45.33323669433594,-25.244620173840065,-48.55229949951172,-64.31629943847656,0.3316077209613988,96.90582472639447,88.50778997809172,7.066740777060872
46,113,47,128.71379734375296,-45.37932910641738,-27.352237701416016,64.34400939941406,-46.145626297851436,-23.721900939941406,-64.31629943847656,0.4158049770293864,91.65411084620824,89.55040802481946,1.71415518421194
47,117,48,105.24312773283879,-47.694185205541096,-61.88201141357422,40.67753601074219,-44.900393361771094,-55.20330047607422,-64.31629943847656,0.33520463250975646,93.82232318626187,91.2937854919139,4.035964986894688
48,125,49,128.6895199103777,13.957701125009255,-4.655700206756592,64.31629943847656,12.520893891070397,-8.202899932861328,-64.31629943847656,0.32940489098135883,88.55863008971444,89.37134372372309,1.5725529342542879
49,125,50,132.38421964024218,-38.14739936225846,-18.04083824157715,64.34400939941406,-62.60505138886214,-40.12770080566406,-63.87289810180664,0.34159585673188053,81.10721254670055,80.20232447696446,13.291247517676501
50,126,51,129.43993511982424,-49.27467316287384,-50.24276351928711,64.34400939941406,-50.77533849609887,-36.13710021972656,-64.31629943847656,0.2669618561799443,96.12935136842101,89.28784260291818,6.170900000150697
51,130,52,128.72190050947302,17.629541833964115,-49.4390983581543,64.31629943847656,14.404707820012455,-45.89189910888672,-64.31629943847656,0.3281389216247174,91.54521143982103,88.35645045456148,2.256156964872619
52,133,53,128.42589600452973,-32.779875889608306,-52.18263626098633,63.95603561401367,-35.06624607170068,-46.33530044555664,-64.31629943847656,0.548060252888982,92.73643778420227,89.09392093571323,2.8827627254864505
